Frame, Time (ms)
 1315, 13048.167
 1316, 13063.821
 1317, 13069.195
 1318, 13078.254
 1319, 13086.231
 1320, 13102.217
 1321, 13107.796
 1322, 13116.811
 1323, 13132.820
 1324, 13138.131
 1325, 13147.237
 1326, 13163.884
 1327, 13168.644
 1328, 13178.035
 1329, 13186.387
 1330, 13201.160
 1331, 13206.810
 1332, 13216.135
 1333, 13231.974
 1334, 13237.724
 1335, 13247.523
 1336, 13261.610
 1337, 13266.837
 1338, 13276.084
 1339, 13284.294
 1340, 13301.346
 1341, 13306.314
 1342, 13314.527
 1343, 13329.597
 1344, 13335.015
 1345, 13343.699
 1346, 13352.752
 1347, 13368.077
 1348, 13374.556
 1349, 13384.213
 1350, 13397.549
 1351, 13403.794
 1352, 13412.136
 1353, 13420.586
 1354, 13435.296
 1355, 13441.130
 1356, 13451.111
 1357, 13466.109
 1358, 13471.791
 1359, 13481.659
 1360, 13498.125
 1361, 13502.264
 1362, 13512.493
 1363, 13520.447
 1364, 13536.265
 1365, 13541.560
 1366, 13551.092
 1367, 13566.516
 1368, 13572.319
 1369, 13581.377
 1370, 13598.439
 1371, 13604.193
 1372, 13613.713
 1373, 13630.791
 1374, 13635.902
 1375, 13645.623
 1376, 13653.826
 1377, 13668.816
 1378, 13674.922
 1379, 13684.721
 1380, 13700.139
 1381, 13705.413
 1382, 13715.225
 1383, 13729.978
 1384, 13736.024
 1385, 13743.947
 1386, 13753.375
 1387, 13769.803
 1388, 13774.656
 1389, 13782.682
 1390, 13799.078
 1391, 13805.532
 1392, 13813.686
 1393, 13829.847
 1394, 13835.703
 1395, 13844.965
 1396, 13852.620
 1397, 13868.300
 1398, 13874.116
 1399, 13883.269
 1400, 13897.969
 1401, 13903.805
 1402, 13913.424
 1403, 13928.619
 1404, 13934.422
 1405, 13943.425
 1406, 13951.687
 1407, 13966.676
 1408, 13972.158
 1409, 13982.179
 1410, 13996.750
 1411, 14001.790
 1412, 14010.931
 1413, 14019.385
 1414, 14037.404
 1415, 14042.958
 1416, 14051.917
 1417, 14067.535
 1418, 14073.045
 1419, 14082.423
 1420, 14099.298
 1421, 14104.906
 1422, 14114.143
 1423, 14129.938
 1424, 14136.107
 1425, 14144.817
 1426, 14153.763
 1427, 14169.431
 1428, 14175.270
 1429, 14184.712
 1430, 14200.569
 1431, 14206.107
 1432, 14216.104
 1433, 14229.711
 1434, 14235.719
 1435, 14244.383
 1436, 14252.761
 1437, 14269.137
 1438, 14275.106
 1439, 14284.386
 1440, 14300.262
 1441, 14305.814
 1442, 14315.308
 1443, 14333.146
 1444, 14338.457
 1445, 14347.737
 1446, 14364.780
 1447, 14370.014
 1448, 14379.411
 1449, 14388.093
 1450, 14403.020
 1451, 14408.389
 1452, 14416.656
 1453, 14432.083
 1454, 14439.400
 1455, 14448.490
 1456, 14465.826
 1457, 14471.423
 1458, 14480.260
 1459, 14495.134
 1460, 14500.789
 1461, 14510.344
 1462, 14517.695
 1463, 14535.490
 1464, 14539.837
 1465, 14548.579
 1466, 14563.814
 1467, 14570.396
 1468, 14578.417
 1469, 14586.384
 1470, 14602.217
 1471, 14608.028
 1472, 14617.555
 1473, 14633.889
 1474, 14639.256
 1475, 14648.585
 1476, 14664.540
 1477, 14670.362
 1478, 14678.534
 1479, 14688.759
 1480, 14702.023
 1481, 14710.507
 1482, 14718.124
 1483, 14733.553
 1484, 14739.263
 1485, 14749.424
 1486, 14764.653
 1487, 14769.787
 1488, 14779.268
 1489, 14787.851
 1490, 14804.363
 1491, 14809.956
 1492, 14819.168
 1493, 14835.971
 1494, 14841.684
 1495, 14851.027
 1496, 14867.385
 1497, 14873.783
 1498, 14882.188
 1499, 14897.044
 1500, 14902.468
 1501, 14912.043
 1502, 14921.082
 1503, 14939.021
 1504, 14943.167
 1505, 14952.444
